ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,barrinha,SP,3505609,2094,976
2007,barro,CE,2302008,1955,1488
2007,barro alto,BA,2903235,1404,715
2007,barro alto,GO,5203203,592,400
2007,barro duro,PI,2201408,581,280
2007,barro preto,BA,2903300,692,414
2007,barrocas,BA,2903276,1489,774
2007,barrolândia,TO,1703107,533,231
2007,barroquinha,CE,2302057,1735,795
2007,barros cassal,RS,4302006,950,349
2007,barroso,MG,3105905,1508,770
2007,barueri,SP,3505708,22751,13389
2007,bastos,SP,3505807,1471,924
2007,bataguassu,MS,5001904,1480,843
2007,batalha,AL,2700706,1430,937
2007,batalha,PI,2201507,2263,991
2007,batatais,SP,3505906,3787,2140
2007,batayporã,MS,5002001,865,355
2007,baturité,CE,2302107,2776,1370
2007,bauru,SP,3506003,21772,13296
2007,bayeux,PB,2501807,7057,3802
2007,bebedouro,SP,3506102,5217,3357
2007,beberibe,CE,2302206,4103,2644
2007,bela cruz,CE,2302305,3151,1573
2007,bela vista,MS,5002100,2234,984
2007,bela vista da caroba,PR,4102752,352,187
2007,bela vista de goiás,GO,5203302,1714,885
2007,bela vista de minas,MG,3106002,773,315
2007,bela vista do maranhão,MA,2101772,1408,318
2007,bela vista do paraíso,PR,4102802,1329,660
2007,bela vista do piauí,PI,2201556,285,258
2007,bela vista do toldo,SC,4202131,641,243
2007,belágua,MA,2101731,595,419
2007,belém,AL,2700805,172,390
2007,belém,PA,1501402,99733,89632
2007,belém,PB,2501906,1192,571
2007,belém de maria,PE,2601508,989,386
2007,belém do brejo do cruz,PB,2502003,549,267
2007,belém do piauí,PI,2201572,293,159
2007,belém do são francisco,PE,2601607,1241,1467
2007,belford roxo,RJ,3300456,36607,19262
2007,belmiro braga,MG,3106101,327,173
2007,belmonte,BA,2903409,1709,1023
2007,belmonte,SC,4202156,204,136
2007,belo campo,BA,2903508,1730,612
2007,belo horizonte,MG,3106200,163890,118269
2007,belo jardim,PE,2601706,6322,3704
2007,belo monte,AL,2700904,767,0
2007,belo oriente,MG,3106309,1777,823
2007,belo vale,MG,3106408,630,240
2007,belterra,PA,1501451,1515,708
2007,beneditinos,PI,2201606,805,692
2007,benedito leite,MA,2101806,270,52
2007,benedito novo,SC,4202206,646,281
2007,benevides,PA,1501501,4308,2970
2007,benjamin constant,AM,1300607,5677,1584
2007,benjamin constant do sul,RS,4302055,259,0
2007,bento de abreu,SP,3506201,171,120
2007,bento fernandes,RN,2401602,536,270
2007,bento gonçalves,RS,4302105,6198,4178
2007,bequimão,MA,2101905,1865,1500
2007,berilo,MG,3106507,1378,592
2007,berizal,MG,3106655,418,251
2007,bernardino batista,PB,2502052,335,146
2007,bernardino de campos,SP,3506300,749,540
2007,bernardo do mearim,MA,2101939,467,336
2007,bernardo sayão,TO,1703206,499,239
2007,bertioga,SP,3506359,3826,1819
2007,bertolínia,PI,2201705,375,241
2007,bertópolis,MG,3106606,441,136
2007,beruri,AM,1300631,1476,425
2007,betânia,PE,2601805,818,574
2007,betânia do piauí,PI,2201739,608,259
2007,betim,MG,3106705,26399,18995
2007,bezerros,PE,2601904,4617,2924
2007,bias fortes,MG,3106804,263,170
2007,bicas,MG,3106903,876,496
2007,biguaçu,SC,4202305,4301,1904
2007,bilac,SP,3506409,387,268
2007,biquinhas,MG,3107000,229,96
2007,birigui,SP,3506508,6619,4112
2007,biritiba mirim,SP,3506607,2155,969
2007,biritinga,BA,2903607,1578,623
2007,bituruna,PR,4102901,1530,724
2007,blumenau,SC,4202404,20527,11680
2007,boa esperança,ES,3201001,1229,613
2007,boa esperança,MG,3107109,3123,1774
2007,boa esperança,PR,4103008,438,403
2007,boa esperança do iguaçu,PR,4103024,263,128
2007,boa esperança do sul,SP,3506706,1001,441
2007,boa hora,PI,2201770,549,286
2007,boa nova,BA,2903706,1831,775
2007,boa ventura,PB,2502102,457,263
2007,boa ventura de são roque,PR,4103040,631,327
2007,boa viagem,CE,2302404,4448,2419
2007,boa vista,PB,2502151,718,303
2007,boa vista,RR,1400100,22173,10845
2007,boa vista da aparecida,PR,4103057,747,372
2007,boa vista das missões,RS,4302154,209,0
2007,boa vista do buricá,RS,4302204,488,317
